Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Human_validation,Comment
ml17_280a_0099_part25.wav,25,2:05,0.1362,0.6077,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0083_part36.wav,36,3:00,0.136,0.5661,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0130_part15.wav,15,1:15,0.1358,0.5466,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0096_part40.wav,40,3:20,0.1358,0.5171,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0096_part14.wav,14,1:10,0.1357,0.5294,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0084_part5.wav,5,0:25,0.1355,0.5114,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0083_part13.wav,13,1:05,0.1354,0.528,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0084_part49.wav,49,4:05,0.1352,0.497,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0095_part51.wav,51,4:15,0.1352,0.5383,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part40.wav,40,3:20,0.1348,0.485,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0137_part12.wav,12,1:00,0.1347,0.5389,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part22.wav,22,1:50,0.1346,0.5915,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part65.wav,65,5:25,0.1344,0.5425,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part26.wav,26,2:10,0.1344,0.521,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0083_part41.wav,41,3:25,0.1343,0.5975,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0137_part1.wav,1,0:05,0.1341,0.6087,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part57.wav,57,4:45,0.1341,0.4621,⚠️ ANOMALIE,Score Isolation Forest élevé,Anomaly,
ml17_280a_0082_part24.wav,24,2:00,0.134,0.5048,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0083_part0.wav,0,0:00,0.134,0.5805,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0086_part44.wav,44,3:40,0.1339,0.5711,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0168_part1.wav,1,0:05,0.1338,0.56,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0164_part0.wav,0,0:00,0.1336,0.5186,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part6.wav,6,0:30,0.1335,0.5524,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0168_part9.wav,9,0:45,0.1335,0.5015,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0019_part18.wav,18,1:30,0.1334,0.5373,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0144_part54.wav,54,4:30,0.1333,0.563,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0085_part7.wav,7,0:35,0.1331,0.6006,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0051_part0.wav,0,0:00,0.133,0.5377,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0076_part11.wav,11,0:55,0.1329,0.47,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0139_part0.wav,0,0:00,0.1329,0.463,⚠️ ANOMALIE,Score Isolation Forest élevé,Anomaly,
ml17_280a_0082_part31.wav,31,2:35,0.1325,0.4947,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part46.wav,46,3:50,0.1325,0.5712,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0084_part51.wav,51,4:15,0.1325,0.5407,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part4.wav,4,0:20,0.1324,0.5568,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0084_part13.wav,13,1:05,0.1323,0.5203,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part50.wav,50,4:10,0.1322,0.5679,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part10.wav,10,0:50,0.1322,0.5097,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part37.wav,37,3:05,0.1321,0.5168,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0084_part22.wav,22,1:50,0.132,0.5077,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0137_part6.wav,6,0:30,0.1319,0.5271,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part61.wav,61,5:05,0.1319,0.5462,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0083_part25.wav,25,2:05,0.1316,0.5636,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0070_part22.wav,22,1:50,0.1315,0.5305,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
