Source Audio,Part,Début (sec),Début (min:sec),Distance,Status,Listening, ,
ml19_292a_0007_part24.wav,24,120,2:00,0.1097,RAS,,,ml19_292a_00070024
ml19_292a_0007_part25.wav,25,125,2:05,0.1756,RAS,,,ml19_292a_00070025
ml19_292a_0007_part26.wav,26,130,2:10,0.1046,RAS,,,ml19_292a_00070026
ml19_292a_0007_part27.wav,27,135,2:15,0.1231,RAS,,,ml19_292a_00070027
ml19_292a_0007_part28.wav,28,140,2:20,0.1609,RAS,,,ml19_292a_00070028
ml19_292a_0007_part29.wav,29,145,2:25,0.1162,RAS,,,ml19_292a_00070029
ml19_292a_0007_part30.wav,30,150,2:30,0.1936,RAS,,,ml19_292a_00070030
ml19_292a_0007_part31.wav,31,155,2:35,0.0875,RAS,,,ml19_292a_00070031
ml19_292a_0007_part32.wav,32,160,2:40,0.1665,RAS,,,ml19_292a_00070032
ml19_292a_0007_part33.wav,33,165,2:45,0.1472,RAS,,,ml19_292a_00070033
ml19_292a_0007_part34.wav,34,170,2:50,0.1954,RAS,,,ml19_292a_00070034
ml19_292a_0007_part35.wav,35,175,2:55,0.146,RAS,,,ml19_292a_00070035
ml19_292a_0007_part36.wav,36,180,3:00,0.3043,ANOMALIE,,,ml19_292a_00070036
ml19_292a_0007_part37.wav,37,185,3:05,0.1776,RAS,,,ml19_292a_00070037
ml19_292a_0007_part38.wav,38,190,3:10,0.1987,RAS,,,ml19_292a_00070038
ml19_292a_0007_part39.wav,39,195,3:15,0.2862,ANOMALIE,,,ml19_292a_00070039
ml19_292a_0007_part40.wav,40,200,3:20,0.1093,RAS,,,ml19_292a_00070040
ml19_292a_0007_part41.wav,41,205,3:25,0.121,RAS,,,ml19_292a_00070041
ml19_292a_0030_part0.wav,0,0,0:00,0.1253,RAS,,,ml19_292a_00300000
ml19_292a_0030_part1.wav,1,5,0:05,0.1209,RAS,,,ml19_292a_00300001
ml19_292a_0030_part2.wav,2,10,0:10,0.156,RAS,,,ml19_292a_00300002
