Source Audio,Part,Start(sec),Start (min:sec),Distance,Status,Human_validation,Comment
ml17_280a_0016_part18.wav,18,90,1:30,0.5045,Anomaly,To_validate,
ml17_280a_0154_part22.wav,22,110,1:50,0.5043,Anomaly,To_validate,
ml17_280a_0099_part26.wav,26,130,2:10,0.5041,Anomaly,To_validate,
ml17_280a_0082_part35.wav,35,175,2:55,0.5034,Anomaly,To_validate,
ml17_280a_0097_part29.wav,29,145,2:25,0.5028,Anomaly,To_validate,
ml17_280a_0095_part52.wav,52,260,4:20,0.5026,Anomaly,To_validate,
ml17_280a_0083_part9.wav,9,45,0:45,0.5023,Anomaly,To_validate,
ml17_280a_0169_part22.wav,22,110,1:50,0.5016,Anomaly,To_validate,
ml17_280a_0082_part13.wav,13,65,1:05,0.5013,Anomaly,To_validate,
ml17_280a_0084_part6.wav,6,30,0:30,0.501,Anomaly,To_validate,
ml17_280a_0168_part4.wav,4,20,0:20,0.5008,Anomaly,To_validate,
ml17_280a_0099_part35.wav,35,175,2:55,0.5007,Anomaly,To_validate,
ml17_280a_0097_part22.wav,22,110,1:50,0.4999,Anomaly,To_validate,
ml17_280a_0171_part18.wav,18,90,1:30,0.4999,Anomaly,To_validate,
ml17_280a_0081_part50.wav,50,250,4:10,0.4996,Anomaly,To_validate,
ml17_280a_0172_part4.wav,4,20,0:20,0.4995,Anomaly,To_validate,
ml17_280a_0084_part13.wav,13,65,1:05,0.4993,Anomaly,To_validate,
ml17_280a_0145_part34.wav,34,170,2:50,0.4993,Anomaly,To_validate,
ml17_280a_0084_part5.wav,5,25,0:25,0.4986,Anomaly,To_validate,
ml17_280a_0070_part10.wav,10,50,0:50,0.4979,Anomaly,To_validate,
ml17_280a_0171_part10.wav,10,50,0:50,0.4979,Anomaly,To_validate,
ml17_280a_0097_part25.wav,25,125,2:05,0.4972,Anomaly,To_validate,
ml17_280a_0083_part6.wav,6,30,0:30,0.4971,Anomaly,To_validate,
ml17_280a_0137_part60.wav,60,300,5:00,0.497,Anomaly,To_validate,
ml17_280a_0096_part20.wav,20,100,1:40,0.497,Anomaly,To_validate,
ml17_280a_0056_part11.wav,11,55,0:55,0.4969,Anomaly,To_validate,
ml17_280a_0084_part22.wav,22,110,1:50,0.4967,Anomaly,To_validate,
ml17_280a_0144_part52.wav,52,260,4:20,0.4963,Anomaly,To_validate,
ml17_280a_0082_part34.wav,34,170,2:50,0.4959,Anomaly,To_validate,
ml17_280a_0096_part22.wav,22,110,1:50,0.4957,Anomaly,To_validate,
ml17_280a_0099_part44.wav,44,220,3:40,0.4951,Anomaly,To_validate,
ml17_280a_0148_part13.wav,13,65,1:05,0.4951,Anomaly,To_validate,
ml17_280a_0163_part19.wav,19,95,1:35,0.4946,Anomaly,To_validate,
ml17_280a_0072_part56.wav,56,280,4:40,0.4944,Anomaly,To_validate,
ml17_280a_0096_part19.wav,19,95,1:35,0.4944,Anomaly,To_validate,
ml17_280a_0070_part13.wav,13,65,1:05,0.4942,Anomaly,To_validate,
ml17_280a_0169_part8.wav,8,40,0:40,0.4939,Anomaly,To_validate,
ml17_280a_0095_part19.wav,19,95,1:35,0.4937,Anomaly,To_validate,
ml17_280a_0081_part56.wav,56,280,4:40,0.493,Anomaly,To_validate,
ml17_280a_0169_part19.wav,19,95,1:35,0.4924,Anomaly,To_validate,
ml17_280a_0082_part20.wav,20,100,1:40,0.492,Anomaly,To_validate,
ml17_280a_0096_part37.wav,37,185,3:05,0.4918,Anomaly,To_validate,
ml17_280a_0141_part30.wav,30,150,2:30,0.4915,Anomaly,To_validate,
ml17_280a_0140_part37.wav,37,185,3:05,0.4915,Anomaly,To_validate,
