Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Validation_Humaine
ml19_292b_0026_part123.wav,123,10:15,0.2443,0.2438,RAS,,A_VALIDER
ml19_294a_0011_part42.wav,42,3:30,0.2442,0.2481,RAS,,A_VALIDER
ml17_280a_0144_part161.wav,161,13:25,0.2429,0.2499,RAS,,A_VALIDER
ml17_280a_0144_part53.wav,53,4:25,0.2421,0.2597,RAS,,A_VALIDER
ml18_294b_0013_part78.wav,78,6:30,0.2413,0.259,RAS,,A_VALIDER
ml18_294b_0013_part1.wav,1,0:05,0.2389,0.2602,RAS,,A_VALIDER
ml19_293a_0015_part134.wav,134,11:10,0.2362,0.2509,RAS,,A_VALIDER
ml17_280a_0083_part73.wav,73,6:05,0.2357,0.2253,RAS,,A_VALIDER
ml17_280a_0144_part124.wav,124,10:20,0.2351,0.2467,RAS,,A_VALIDER
ml18_294b_0013_part73.wav,73,6:05,0.235,0.2559,RAS,,A_VALIDER
ml18_294b_0013_part40.wav,40,3:20,0.2344,0.237,RAS,,A_VALIDER
ml19_293a_0015_part31.wav,31,2:35,0.2341,0.2597,RAS,,A_VALIDER
ml17_280a_0088_part83.wav,83,6:55,0.2339,0.2657,RAS,,A_VALIDER
ml19_292b_0026_part42.wav,42,3:30,0.2335,0.2433,RAS,,A_VALIDER
ml18_294b_0013_part91.wav,91,7:35,0.2335,0.2489,RAS,,A_VALIDER
ml17_280a_0144_part153.wav,153,12:45,0.2331,0.2264,RAS,,A_VALIDER
ml19_292b_0026_part137.wav,137,11:25,0.2329,0.237,RAS,,A_VALIDER
ml19_294a_0011_part37.wav,37,3:05,0.2327,0.2488,RAS,,A_VALIDER
ml19_292b_0026_part65.wav,65,5:25,0.2324,0.2439,RAS,,A_VALIDER
ml17_280a_0144_part88.wav,88,7:20,0.2315,0.2415,RAS,,A_VALIDER
ml19_292b_0026_part107.wav,107,8:55,0.2309,0.2414,RAS,,A_VALIDER
ml17_280a_0144_part137.wav,137,11:25,0.2305,0.2405,RAS,,A_VALIDER
ml19_292b_0026_part133.wav,133,11:05,0.2304,0.2369,RAS,,A_VALIDER
ml19_292a_0007_part21.wav,21,1:45,0.2302,0.2602,RAS,,A_VALIDER
ml17_280a_0144_part98.wav,98,8:10,0.23,0.2294,RAS,,A_VALIDER
ml19_292b_0026_part142.wav,142,11:50,0.23,0.2398,RAS,,A_VALIDER
ml17_280a_0083_part57.wav,57,4:45,0.2286,0.2108,RAS,,A_VALIDER
ml18_294b_0013_part5.wav,5,0:25,0.2285,0.2533,RAS,,A_VALIDER
ml19_292a_0030_part63.wav,63,5:15,0.2284,0.2449,RAS,,A_VALIDER
ml17_280a_0144_part44.wav,44,3:40,0.2283,0.2284,RAS,,A_VALIDER
ml19_292b_0026_part134.wav,134,11:10,0.2282,0.2388,RAS,,A_VALIDER
ml18_294b_0076_part1.wav,1,0:05,0.2277,0.2484,RAS,,A_VALIDER
ml19_292b_0026_part30.wav,30,2:30,0.2271,0.2336,RAS,,A_VALIDER
ml19_292a_0030_part72.wav,72,6:00,0.2269,0.2415,RAS,,A_VALIDER
ml17_280a_0144_part32.wav,32,2:40,0.2269,0.2445,RAS,,A_VALIDER
ml19_293a_0066_part47.wav,47,3:55,0.2261,0.2403,RAS,,A_VALIDER
ml19_294a_0011_part43.wav,43,3:35,0.2256,0.2436,RAS,,A_VALIDER
ml19_294a_0011_part30.wav,30,2:30,0.2254,0.2366,RAS,,A_VALIDER
ml19_292b_0026_part128.wav,128,10:40,0.2237,0.2316,RAS,,A_VALIDER
ml17_280a_0088_part72.wav,72,6:00,0.2223,0.2488,RAS,,A_VALIDER
ml18_294b_0013_part28.wav,28,2:20,0.2217,0.2457,RAS,,A_VALIDER
ml19_292b_0026_part144.wav,144,12:00,0.2211,0.2229,RAS,,A_VALIDER
ml17_280a_0144_part119.wav,119,9:55,0.221,0.2323,RAS,,A_VALIDER
ml18_294b_0013_part85.wav,85,7:05,0.2209,0.2434,RAS,,A_VALIDER
ml17_280a_0088_part151.wav,151,12:35,0.2198,0.2437,RAS,,A_VALIDER
ml18_296a_0007_part2.wav,2,0:10,0.2189,0.2368,RAS,,A_VALIDER
ml18_294b_0042_part4.wav,4,0:20,0.2189,0.2448,RAS,,A_VALIDER
ml19_294a_0011_part48.wav,48,4:00,0.2188,0.2322,RAS,,A_VALIDER
ml19_293a_0015_part138.wav,138,11:30,0.2185,0.2336,RAS,,A_VALIDER
ml18_294b_0076_part20.wav,20,1:40,0.2183,0.2421,RAS,,A_VALIDER
ml19_292b_0026_part79.wav,79,6:35,0.2182,0.2258,RAS,,A_VALIDER
ml17_280a_0144_part77.wav,77,6:25,0.218,0.2356,RAS,,A_VALIDER
ml18_294b_0013_part44.wav,44,3:40,0.2177,0.2267,RAS,,A_VALIDER
ml17_280a_0144_part148.wav,148,12:20,0.2172,0.2049,RAS,,A_VALIDER
ml19_293a_0066_part16.wav,16,1:20,0.2172,0.239,RAS,,A_VALIDER
ml19_294a_0011_part41.wav,41,3:25,0.2168,0.229,RAS,,A_VALIDER
ml17_280a_0083_part64.wav,64,5:20,0.216,0.1991,RAS,,A_VALIDER
ml18_294b_0013_part2.wav,2,0:10,0.2157,0.2411,RAS,,A_VALIDER
ml19_292b_0026_part120.wav,120,10:00,0.2155,0.2237,RAS,,A_VALIDER
ml19_292b_0026_part95.wav,95,7:55,0.215,0.2268,RAS,,A_VALIDER
ml19_293a_0066_part84.wav,84,7:00,0.2149,0.2316,RAS,,A_VALIDER
ml18_294b_0013_part54.wav,54,4:30,0.2148,0.2308,RAS,,A_VALIDER
ml17_280a_0144_part90.wav,90,7:30,0.2146,0.2236,RAS,,A_VALIDER
ml19_292b_0026_part135.wav,135,11:15,0.2141,0.2224,RAS,,A_VALIDER
ml18_294b_0013_part77.wav,77,6:25,0.2139,0.2349,RAS,,A_VALIDER
ml17_280a_0083_part63.wav,63,5:15,0.2134,0.2064,RAS,,A_VALIDER
ml19_292b_0026_part87.wav,87,7:15,0.2129,0.2229,RAS,,A_VALIDER
ml17_280a_0144_part123.wav,123,10:15,0.2121,0.2256,RAS,,A_VALIDER
ml19_292b_0026_part102.wav,102,8:30,0.2115,0.2237,RAS,,A_VALIDER
ml19_294a_0011_part24.wav,24,2:00,0.2115,0.2104,RAS,,A_VALIDER
ml17_280a_0144_part132.wav,132,11:00,0.2115,0.2264,RAS,,A_VALIDER
ml19_294a_0011_part33.wav,33,2:45,0.2114,0.2225,RAS,,A_VALIDER
ml19_292a_0030_part76.wav,76,6:20,0.2112,0.2398,RAS,,A_VALIDER
ml19_292b_0026_part62.wav,62,5:10,0.2108,0.2217,RAS,,A_VALIDER
ml19_292b_0026_part9.wav,9,0:45,0.2107,0.2185,RAS,,A_VALIDER
ml18_296a_0007_part11.wav,11,0:55,0.2105,0.2258,RAS,,A_VALIDER
ml17_280a_0144_part6.wav,6,0:30,0.2105,0.2105,RAS,,A_VALIDER
ml19_292b_0026_part67.wav,67,5:35,0.2104,0.2156,RAS,,A_VALIDER
ml19_294a_0011_part31.wav,31,2:35,0.2099,0.2216,RAS,,A_VALIDER
ml18_294b_0013_part0.wav,0,0:00,0.2099,0.223,RAS,,A_VALIDER
ml19_293a_0066_part58.wav,58,4:50,0.2097,0.2262,RAS,,A_VALIDER
ml19_292b_0026_part80.wav,80,6:40,0.2096,0.2181,RAS,,A_VALIDER
ml19_294a_0011_part26.wav,26,2:10,0.2094,0.2198,RAS,,A_VALIDER
ml17_280a_0144_part55.wav,55,4:35,0.209,0.233,RAS,,A_VALIDER
ml19_292b_0026_part136.wav,136,11:20,0.209,0.2222,RAS,,A_VALIDER
ml17_280a_0144_part92.wav,92,7:40,0.2087,0.2191,RAS,,A_VALIDER
ml17_280a_0144_part133.wav,133,11:05,0.2087,0.2227,RAS,,A_VALIDER
ml19_293a_0066_part72.wav,72,6:00,0.2086,0.2272,RAS,,A_VALIDER
ml19_293a_0066_part85.wav,85,7:05,0.2079,0.2268,RAS,,A_VALIDER
ml17_280a_0144_part43.wav,43,3:35,0.2078,0.2025,RAS,,A_VALIDER
ml19_292b_0026_part93.wav,93,7:45,0.2074,0.2197,RAS,,A_VALIDER
ml19_292b_0026_part125.wav,125,10:25,0.2073,0.2172,RAS,,A_VALIDER
