Source Audio,Part,Début (sec),Début (min:sec),Distance,Status
ml19_292b_0026_part11.wav,11,55,0:55,0.2051,RAS
ml19_293a_0015_part67.wav,67,335,5:35,0.2048,RAS
ml19_292b_0026_part98.wav,98,490,8:10,0.2048,RAS
ml19_292a_0030_part4.wav,4,20,0:20,0.2044,RAS
ml19_293a_0015_part33.wav,33,165,2:45,0.2041,RAS
ml19_292b_0026_part66.wav,66,330,5:30,0.204,RAS
ml17_280a_0144_part151.wav,151,755,12:35,0.204,RAS
ml19_293a_0015_part132.wav,132,660,11:00,0.204,RAS
ml19_292b_0026_part18.wav,18,90,1:30,0.2037,RAS
ml17_280a_0144_part86.wav,86,430,7:10,0.2037,RAS
ml18_294b_0013_part32.wav,32,160,2:40,0.2037,RAS
ml19_292b_0026_part52.wav,52,260,4:20,0.2033,RAS
ml18_294b_0013_part4.wav,4,20,0:20,0.2033,RAS
ml17_280a_0088_part158.wav,158,790,13:10,0.2029,RAS
ml19_293a_0066_part25.wav,25,125,2:05,0.2025,RAS
ml18_294b_0013_part75.wav,75,375,6:15,0.2025,RAS
ml17_280a_0083_part67.wav,67,335,5:35,0.2023,RAS
ml19_293a_0015_part128.wav,128,640,10:40,0.2013,RAS
ml19_292a_0030_part62.wav,62,310,5:10,0.2008,RAS
ml19_292b_0026_part4.wav,4,20,0:20,0.2007,RAS
ml19_292b_0026_part143.wav,143,715,11:55,0.2005,RAS
ml18_294b_0076_part70.wav,70,350,5:50,0.2003,RAS
ml19_292a_0007_part2.wav,2,10,0:10,0.2002,RAS
ml17_280a_0088_part33.wav,33,165,2:45,0.2002,RAS
ml19_293a_0066_part38.wav,38,190,3:10,0.2002,RAS
ml17_280a_0144_part103.wav,103,515,8:35,0.2001,RAS
ml19_292b_0026_part116.wav,116,580,9:40,0.1999,RAS
ml18_294b_0042_part36.wav,36,180,3:00,0.1999,RAS
ml19_292b_0026_part73.wav,73,365,6:05,0.1995,RAS
ml18_294b_0013_part3.wav,3,15,0:15,0.199,RAS
ml17_280a_0083_part68.wav,68,340,5:40,0.1989,RAS
ml17_280a_0144_part80.wav,80,400,6:40,0.1989,RAS
ml18_294b_0076_part17.wav,17,85,1:25,0.1988,RAS
ml17_280a_0144_part110.wav,110,550,9:10,0.1987,RAS
ml19_293a_0015_part123.wav,123,615,10:15,0.1986,RAS
ml19_292a_0007_part20.wav,20,100,1:40,0.1984,RAS
ml19_292a_0007_part38.wav,38,190,3:10,0.198,RAS
ml19_292b_0026_part74.wav,74,370,6:10,0.1979,RAS
